Date, Close/Last, Volume, Open, High, Low
04/17/2020, $422.96, 12616260, $431, $432, $414.695
04/16/2020, $439.17, 16128670, $437, $449.52, $431.61
04/15/2020, $426.75, 13561220, $413, $434.98, $412.25
04/14/2020, $413.55, 11580980, $397.5, $417.82, $394.8468
04/13/2020, $396.72, 11692920, $371.31, $400.51, $367.7003
04/09/2020, $370.72, 7711296, $371.06, $372.1, $363.03
04/08/2020, $371.12, 6908879, $374.01, $378.39, $368.31
04/07/2020, $372.28, 7046438, $380, $381.33, $369.34
04/06/2020, $379.96, 8183921, $365.22, $380.29, $361.71
04/03/2020, $361.76, 4860768, $367.47, $370.9, $357.51
04/02/2020, $370.08, 4592477, $364.08, $370.99, $360.06
04/01/2020, $364.08, 6672454, $376.05, $380.233, $361.02
03/31/2020, $375.5, 9366464, $367.93, $383.01, $366.44
03/30/2020, $370.96, 8621964, $363, $377.8, $361.17
03/27/2020, $357.12, 7948775, $359.09, $368.56, $353
03/26/2020, $362.99, 7235016, $344, $363.84, $341.73
03/25/2020, $342.39, 8767171, $361.02, $362, $339.17
03/24/2020, $357.32, 11638680, $369.99, $372.93, $353.0301
03/23/2020, $360.27, 13449380, $347.89, $366.11, $340.8838
03/20/2020, $332.83, 10853850, $342.31, $350.49, $332
03/19/2020, $332.03, 10615960, $324.33, $348.51, $316.82
03/18/2020, $315.47, 12593650, $302.395, $331.5794, $300
03/17/2020, $319.75, 10013910, $306.19, $322.9, $290.25
03/16/2020, $298.84, 10559940, $306.63, $334.35, $294.75
03/13/2020, $336.295, 9458197, $330.51, $336.42, $307.39
03/12/2020, $315.25, 12071590, $326.5, $335.72, $307.32
03/11/2020, $349.92, 6058782, $358.92, $362.98, $344.79
03/10/2020, $364.13, 7604444, $356.425, $364.54, $347.85
03/09/2020, $346.49, 7405458, $343.86, $357.47, $341.7209
03/06/2020, $368.97, 8147165, $367.7, $371.31, $356.85
03/05/2020, $372.78, 8746985, $381, $391.4, $368.6401
03/04/2020, $383.79, 5487340, $377.77, $384.01, $370.51
03/03/2020, $368.77, 8364623, $381.03, $393.52, $367.4
03/02/2020, $381.05, 6997891, $373.11, $381.36, $364.502
02/28/2020, $369.03, 11178570, $364.21, $376.77, $356.8
02/27/2020, $371.71, 10967700, $371.46, $391.5624, $370.5962
02/26/2020, $379.24, 8961126, $366.31, $382, $365
02/25/2020, $360.09, 6481243, $372, $375.65, $357.72
02/24/2020, $368.7, 6936418, $364.76, $372.82, $361
